Date,Hour,Site,WL,AWL
9/25/2013,1:00,CC,74.579,0
9/25/2013,2:00,CC,74.579,0
9/25/2013,3:00,CC,74.579,0
9/25/2013,4:00,CC,74.579,0
9/25/2013,5:00,CC,74.579,0
9/25/2013,6:00,CC,74.579,0
9/25/2013,7:00,CC,74.579,0
9/25/2013,8:00,CC,74.569,0
9/25/2013,9:00,CC,74.569,0
9/25/2013,10:00,CC,74.569,0
9/25/2013,11:00,CC,74.569,0
9/25/2013,12:00,CC,74.569,0
9/25/2013,13:00,CC,74.569,0
9/25/2013,14:00,CC,74.569,0
9/25/2013,15:00,CC,74.579,0
9/25/2013,16:00,CC,74.579,0
9/25/2013,17:00,CC,74.579,0
9/25/2013,18:00,CC,74.579,0
9/25/2013,19:00,CC,74.589,0
9/25/2013,20:00,CC,74.589,0
9/25/2013,21:00,CC,74.579,0
9/25/2013,22:00,CC,74.589,0
9/25/2013,23:00,CC,74.589,0
9/26/2013,0:00,CC,74.589,0
9/26/2013,1:00,CC,74.579,0
9/26/2013,2:00,CC,74.579,0
9/26/2013,3:00,CC,74.579,0
9/26/2013,4:00,CC,74.579,0
9/26/2013,5:00,CC,74.569,0
9/26/2013,6:00,CC,74.569,0
9/26/2013,7:00,CC,74.569,0
9/26/2013,8:00,CC,74.569,0
9/26/2013,9:00,CC,74.559,0
9/26/2013,10:00,CC,74.569,0
9/26/2013,11:00,CC,74.559,0
9/26/2013,12:00,CC,74.559,0
9/26/2013,13:00,CC,74.559,0
9/26/2013,14:00,CC,74.559,0
9/26/2013,15:00,CC,74.559,0
9/26/2013,16:00,CC,74.559,0
9/26/2013,17:00,CC,74.559,0
9/26/2013,18:00,CC,74.559,0
9/26/2013,19:00,CC,74.559,0
9/26/2013,20:00,CC,74.549,0
9/26/2013,21:00,CC,74.559,0
9/26/2013,22:00,CC,74.559,0
9/26/2013,23:00,CC,74.549,0
9/27/2013,0:00,CC,74.559,0
9/27/2013,1:00,CC,74.559,0
9/27/2013,2:00,CC,74.549,0
9/27/2013,3:00,CC,74.549,0
9/27/2013,4:00,CC,74.549,0
9/27/2013,5:00,CC,74.549,0
9/27/2013,6:00,CC,74.549,0
9/27/2013,7:00,CC,74.539,0
9/27/2013,8:00,CC,74.549,0
9/27/2013,9:00,CC,74.539,0
9/27/2013,10:00,CC,74.539,0
9/27/2013,11:00,CC,74.549,0
9/27/2013,12:00,CC,74.559,0
9/27/2013,13:00,CC,74.549,0
9/27/2013,14:00,CC,74.559,0
9/27/2013,15:00,CC,74.559,0
9/27/2013,16:00,CC,74.559,0
9/27/2013,17:00,CC,74.559,0
9/27/2013,18:00,CC,74.559,0
9/27/2013,19:00,CC,74.569,0
9/27/2013,20:00,CC,74.569,0
9/27/2013,21:00,CC,74.569,0
9/27/2013,22:00,CC,74.569,0
9/27/2013,23:00,CC,74.569,0
9/28/2013,0:00,CC,74.569,0
9/28/2013,1:00,CC,74.569,0
9/28/2013,2:00,CC,74.569,0
9/28/2013,3:00,CC,74.559,0
9/28/2013,4:00,CC,74.569,0
9/28/2013,5:00,CC,74.569,0
9/28/2013,6:00,CC,74.569,0
9/28/2013,7:00,CC,74.549,0
9/28/2013,8:00,CC,74.559,0
9/28/2013,9:00,CC,74.559,0
9/28/2013,10:00,CC,74.549,0
9/28/2013,11:00,CC,74.549,0
9/28/2013,12:00,CC,74.549,0
9/28/2013,13:00,CC,74.549,0
9/28/2013,14:00,CC,74.559,0
9/28/2013,15:00,CC,74.559,0
9/28/2013,16:00,CC,74.559,0
9/28/2013,17:00,CC,74.549,0
9/28/2013,18:00,CC,74.559,0
9/28/2013,19:00,CC,74.559,0
9/28/2013,20:00,CC,74.549,0
9/28/2013,21:00,CC,74.549,0
9/28/2013,22:00,CC,74.549,0
9/28/2013,23:00,CC,74.549,0
9/29/2013,0:00,CC,74.549,0
9/29/2013,1:00,CC,74.539,0
9/29/2013,2:00,CC,74.539,0
9/29/2013,3:00,CC,74.539,0
9/29/2013,4:00,CC,74.539,0
9/29/2013,5:00,CC,74.539,0
9/29/2013,6:00,CC,74.529,0
9/29/2013,7:00,CC,74.529,0
9/29/2013,8:00,CC,74.529,0
9/29/2013,9:00,CC,74.529,0
9/29/2013,10:00,CC,74.519,0
9/29/2013,11:00,CC,74.529,0
9/29/2013,12:00,CC,74.519,0
9/29/2013,13:00,CC,74.519,0
9/29/2013,14:00,CC,74.519,0
9/29/2013,15:00,CC,74.519,0
9/29/2013,16:00,CC,74.509,0
9/29/2013,17:00,CC,74.509,0
9/29/2013,18:00,CC,74.509,0
9/29/2013,19:00,CC,74.509,0
