"Date","IGLD.m"
1984-01-01,74.568
1984-01-02,74.621
1984-01-03,74.635
1984-01-04,74.643
1984-01-05,74.617
1984-01-06,74.64
1984-01-07,74.615
1984-01-08,74.62
1984-01-09,74.63
1984-01-10,74.617
1984-01-11,74.63
1984-01-12,74.598
1984-01-13,74.595
1984-01-14,74.636
1984-01-15,74.62
1984-01-16,74.619
1984-01-17,74.643
1984-01-18,74.625
1984-01-19,74.656
1984-01-20,74.666
1984-01-21,74.617
1984-01-22,74.621
1984-01-23,74.593
1984-01-24,74.593
1984-01-25,74.632
1984-01-26,74.582
1984-01-27,74.614
1984-01-28,74.575
1984-01-29,74.583
1984-01-30,74.575
1984-01-31,74.589
1984-02-01,74.567
1984-02-02,74.542
1984-02-03,74.567
1984-02-04,74.562
1984-02-05,74.566
1984-02-06,74.579
1984-02-07,74.581
1984-02-08,74.579
1984-02-09,74.541
1984-02-10,74.546
1984-02-11,74.55
1984-02-12,74.538
1984-02-13,74.522
1984-02-14,74.568
1984-02-15,74.599
1984-02-16,74.588
1984-02-17,74.598
1984-02-18,74.647
1984-02-19,74.653
1984-02-20,74.725
1984-02-21,74.699
1984-02-22,74.719
1984-02-23,74.72
1984-02-24,74.732
1984-02-25,74.728
1984-02-26,74.742
1984-02-27,74.714
1984-02-28,74.586
1984-02-29,74.77
1984-03-01,74.766
1984-03-02,74.768
1984-03-03,74.775
1984-03-04,74.743
1984-03-05,74.738
1984-03-06,74.787
1984-03-07,74.768
1984-03-08,74.728
1984-03-09,74.736
1984-03-10,74.748
1984-03-11,74.807
1984-03-12,74.716
1984-03-13,74.684
1984-03-14,74.728
1984-03-15,74.704
1984-03-16,74.701
1984-03-17,74.682
1984-03-18,74.659
1984-03-19,74.706
1984-03-20,74.688
1984-03-21,74.687
1984-03-22,74.748
1984-03-23,74.811
1984-03-24,74.78
1984-03-25,74.773
1984-03-26,74.773
1984-03-27,74.768
1984-03-28,74.723
1984-03-29,74.714
1984-03-30,74.761
1984-03-31,74.803
1984-04-01,74.821
1984-04-02,74.826
1984-04-03,74.812
1984-04-04,74.786
1984-04-05,74.8
1984-04-06,74.909
1984-04-07,74.916
1984-04-08,74.914
1984-04-09,74.886
1984-04-10,74.915
1984-04-11,74.918
1984-04-12,74.919
1984-04-13,74.889
1984-04-14,74.907
1984-04-15,74.909
1984-04-16,74.946
1984-04-17,75.001
1984-04-18,75.014
1984-04-19,75.026
1984-04-20,75.079
1984-04-21,75.055
1984-04-22,75.043
1984-04-23,75.035
1984-04-24,75.067
1984-04-25,75.086
1984-04-26,75.076
1984-04-27,75.061
1984-04-28,75.071
1984-04-29,75.096
1984-04-30,75.133
1984-05-01,75.192
1984-05-02,75.133
1984-05-03,75.078
1984-05-04,75.064
1984-05-05,75.117
1984-05-06,75.116
1984-05-07,75.092
1984-05-08,75.13
1984-05-09,75.182
1984-05-10,75.167
1984-05-11,75.141
1984-05-12,75.174
1984-05-13,75.156
1984-05-14,75.168
1984-05-15,75.154
1984-05-16,75.148
1984-05-17,75.157
1984-05-18,75.14
1984-05-19,75.158
1984-05-20,75.142
1984-05-21,75.139
1984-05-22,75.134
1984-05-23,75.179
1984-05-24,75.18
1984-05-25,75.177
1984-05-26,75.212
1984-05-27,75.182
1984-05-28,75.108
1984-05-29,75.102
1984-05-30,75.171
1984-05-31,75.184
1984-06-01,75.174
1984-06-02,75.175
1984-06-03,75.186
1984-06-04,75.199
1984-06-05,75.177
1984-06-06,75.181
1984-06-07,75.178
1984-06-08,75.172
1984-06-09,75.188
1984-06-10,75.168
1984-06-11,75.189
1984-06-12,75.162
1984-06-13,75.167
1984-06-14,75.183
1984-06-15,75.154
1984-06-16,75.143
1984-06-17,75.139
1984-06-18,75.158
1984-06-19,75.169
1984-06-20,75.138
1984-06-21,75.142
1984-06-22,75.119
1984-06-23,75.093
1984-06-24,75.148
1984-06-25,75.164
1984-06-26,75.141
1984-06-27,75.135
1984-06-28,75.163
1984-06-29,75.13
1984-06-30,75.11
1984-07-01,75.108
1984-07-02,75.113
1984-07-03,75.109
1984-07-04,75.107
1984-07-05,75.091
1984-07-06,75.1
1984-07-07,75.137
1984-07-08,75.109
1984-07-09,75.097
1984-07-10,75.082
1984-07-11,75.098
1984-07-12,75.109
1984-07-13,75.094
1984-07-14,75.093
1984-07-15,75.077
1984-07-16,75.095
1984-07-17,75.067
1984-07-18,75.076
1984-07-19,75.082
1984-07-20,75.073
1984-07-21,75.057
1984-07-22,75.036
1984-07-23,75.064
1984-07-24,75.049
1984-07-25,75.018
1984-07-26,75.008
1984-07-27,74.974
1984-07-28,74.973
1984-07-29,74.968
1984-07-30,74.963
1984-07-31,74.962
1984-08-01,74.948
1984-08-02,74.937
1984-08-03,74.93
1984-08-04,74.921
1984-08-05,74.917
1984-08-06,74.91
1984-08-07,74.915
1984-08-08,74.884
1984-08-09,74.894
1984-08-10,74.889
1984-08-11,74.849
1984-08-12,74.854
1984-08-13,74.855
1984-08-14,74.864
1984-08-15,74.889
1984-08-16,74.877
1984-08-17,74.841
1984-08-18,74.831
1984-08-19,74.817
1984-08-20,74.807
1984-08-21,74.807
1984-08-22,74.803
