"Date","IGLD.m"
2011-01-01,74.357
2011-01-02,74.418
2011-01-03,74.388
2011-01-04,74.385
2011-01-05,74.387
2011-01-06,74.369
2011-01-07,74.387
2011-01-08,74.365
2011-01-09,74.407
2011-01-10,74.375
2011-01-11,74.317
2011-01-12,74.312
2011-01-13,74.359
2011-01-14,74.349
2011-01-15,74.401
2011-01-16,74.39
2011-01-17,74.335
2011-01-18,74.369
2011-01-19,74.322
2011-01-20,74.351
2011-01-21,74.381
2011-01-22,74.351
2011-01-23,74.334
2011-01-24,74.317
2011-01-25,74.351
2011-01-26,74.334
2011-01-27,74.342
2011-01-28,74.341
2011-01-29,74.338
2011-01-30,74.34
2011-01-31,74.306
2011-02-01,74.259
2011-02-02,74.251
2011-02-03,74.328
2011-02-04,74.336
2011-02-05,74.287
2011-02-06,74.317
2011-02-07,74.294
2011-02-08,74.317
2011-02-09,74.329
2011-02-10,74.312
2011-02-11,74.284
2011-02-12,74.298
2011-02-13,74.264
2011-02-14,74.286
2011-02-15,74.241
2011-02-16,74.244
2011-02-17,74.234
2011-02-18,74.279
2011-02-19,74.291
2011-02-20,74.247
2011-02-21,74.209
2011-02-22,74.231
2011-02-23,74.233
2011-02-24,74.24
2011-02-25,74.229
2011-02-26,74.233
2011-02-27,74.236
2011-02-28,74.275
2011-03-01,74.27
2011-03-02,74.313
2011-03-03,74.259
2011-03-04,74.265
2011-03-05,74.298
2011-03-06,74.302
2011-03-07,74.333
2011-03-08,74.322
2011-03-09,74.316
2011-03-10,74.383
2011-03-11,74.43
2011-03-12,74.478
2011-03-13,74.494
2011-03-14,74.492
2011-03-15,74.488
2011-03-16,74.528
2011-03-17,74.536
2011-03-18,74.587
2011-03-19,74.554
2011-03-20,74.536
2011-03-21,74.575
2011-03-22,74.574
2011-03-23,74.503
2011-03-24,74.57
2011-03-25,74.59
2011-03-26,74.596
2011-03-27,74.599
2011-03-28,74.617
2011-03-29,74.603
2011-03-30,74.583
2011-03-31,74.575
2011-04-01,74.597
2011-04-02,74.624
2011-04-03,74.608
2011-04-04,74.611
2011-04-05,74.678
2011-04-06,74.633
2011-04-07,74.627
2011-04-08,74.619
2011-04-09,74.621
2011-04-10,74.617
2011-04-11,74.666
2011-04-12,74.63
2011-04-13,74.628
2011-04-14,74.644
2011-04-15,74.573
2011-04-16,74.603
2011-04-17,74.786
2011-04-18,74.745
2011-04-19,74.688
2011-04-20,74.73
2011-04-21,74.785
2011-04-22,74.753
2011-04-23,74.802
2011-04-24,74.802
2011-04-25,74.793
2011-04-26,74.781
2011-04-27,74.822
2011-04-28,74.906
2011-04-29,74.907
2011-04-30,74.9
2011-05-01,74.883
2011-05-02,74.926
2011-05-03,74.921
2011-05-04,74.969
2011-05-05,74.995
2011-05-06,75.015
2011-05-07,75.018
2011-05-08,75.006
2011-05-09,74.999
2011-05-10,74.968
2011-05-11,74.963
2011-05-12,74.97
2011-05-13,74.985
2011-05-14,74.982
2011-05-15,74.916
2011-05-16,74.978
2011-05-17,75.006
2011-05-18,75.044
2011-05-19,75.097
2011-05-20,75.124
2011-05-21,75.128
2011-05-22,75.12
2011-05-23,75.146
2011-05-24,75.173
2011-05-25,75.132
2011-05-26,75.151
2011-05-27,75.145
2011-05-28,75.177
2011-05-29,75.188
2011-05-30,75.199
2011-05-31,75.199
2011-06-01,75.243
2011-06-02,75.259
2011-06-03,75.209
2011-06-04,75.207
2011-06-05,75.205
2011-06-06,75.194
2011-06-07,75.188
2011-06-08,75.189
