"Date","IGLD.m"
2004-01-01,74.691
2004-01-02,74.649
2004-01-03,74.698
2004-01-04,74.691
2004-01-05,74.618
2004-01-06,74.75
2004-01-07,74.774
2004-01-08,74.669
2004-01-09,74.681
2004-01-10,74.709
2004-01-11,74.785
2004-01-12,74.723
2004-01-13,74.755
2004-01-14,74.703
2004-01-15,74.727
2004-01-16,74.77
2004-01-17,74.73
2004-01-18,74.773
2004-01-19,74.761
2004-01-20,74.751
2004-01-21,74.723
2004-01-22,74.764
2004-01-23,74.722
2004-01-24,74.714
2004-01-25,74.689
2004-01-26,74.616
2004-01-27,74.607
2004-01-28,74.715
2004-01-29,74.729
2004-01-30,74.73
2004-01-31,74.709
2004-02-01,74.683
2004-02-02,74.651
2004-02-03,74.66
2004-02-04,74.732
2004-02-05,74.669
2004-02-06,74.645
2004-02-07,74.686
2004-02-08,74.674
2004-02-09,74.66
2004-02-10,74.66
2004-02-11,74.646
2004-02-12,74.619
2004-02-13,74.684
2004-02-14,74.638
2004-02-15,74.599
2004-02-16,74.592
2004-02-17,74.577
2004-02-18,74.582
2004-02-19,74.578
2004-02-20,74.528
2004-02-21,74.594
2004-02-22,74.598
2004-02-23,74.558
2004-02-24,74.548
2004-02-25,74.551
2004-02-26,74.533
2004-02-27,74.534
2004-02-28,74.548
2004-02-29,74.537
2004-03-01,74.511
2004-03-02,74.536
2004-03-03,74.536
2004-03-04,74.533
2004-03-05,74.536
2004-03-06,74.602
2004-03-07,74.557
2004-03-08,74.58
2004-03-09,74.585
2004-03-10,74.592
2004-03-11,74.587
2004-03-12,74.674
2004-03-13,74.641
2004-03-14,74.616
2004-03-15,74.671
2004-03-16,74.514
2004-03-17,74.522
2004-03-18,74.579
2004-03-19,74.587
2004-03-20,74.597
2004-03-21,74.62
2004-03-22,74.6
2004-03-23,74.658
2004-03-24,74.583
2004-03-25,74.601
2004-03-26,74.608
2004-03-27,74.61
2004-03-28,74.594
2004-03-29,74.605
2004-03-30,74.629
2004-03-31,74.629
2004-04-01,74.563
2004-04-02,74.59
2004-04-03,74.666
2004-04-04,74.684
2004-04-05,74.708
2004-04-06,74.712
2004-04-07,74.722
2004-04-08,74.722
2004-04-09,74.731
2004-04-10,74.722
2004-04-11,74.703
2004-04-12,74.677
2004-04-13,74.665
2004-04-14,74.719
2004-04-15,74.724
2004-04-16,74.722
2004-04-17,74.746
2004-04-18,74.721
2004-04-19,74.805
2004-04-20,74.753
2004-04-21,74.767
2004-04-22,74.814
2004-04-23,74.761
2004-04-24,74.801
2004-04-25,74.746
2004-04-26,74.831
2004-04-27,74.854
2004-04-28,74.827
2004-04-29,74.842
2004-04-30,74.82
2004-05-01,74.82
2004-05-02,74.838
2004-05-03,74.884
2004-05-04,74.858
2004-05-05,74.862
2004-05-06,74.859
2004-05-07,74.851
2004-05-08,74.833
2004-05-09,74.847
2004-05-10,74.86
2004-05-11,74.879
2004-05-12,74.867
2004-05-13,74.866
2004-05-14,74.872
2004-05-15,74.9
2004-05-16,74.893
2004-05-17,74.875
2004-05-18,74.902
2004-05-19,74.882
2004-05-20,74.9
2004-05-21,74.872
2004-05-22,74.86
2004-05-23,74.879
2004-05-24,74.919
2004-05-25,74.945
2004-05-26,74.967
2004-05-27,74.968
2004-05-28,75.001
2004-05-29,75.008
2004-05-30,74.988
2004-05-31,74.961
2004-06-01,75.023
2004-06-02,75.017
2004-06-03,75.023
2004-06-04,75.016
2004-06-05,75.005
2004-06-06,75.004
2004-06-07,75.015
2004-06-08,75.014
2004-06-09,75.034
2004-06-10,75.009
2004-06-11,75.01
2004-06-12,74.988
2004-06-13,74.982
2004-06-14,75.013
2004-06-15,75.018
2004-06-16,74.992
2004-06-17,74.982
2004-06-18,75
2004-06-19,75.029
2004-06-20,75.017
2004-06-21,75.004
2004-06-22,75.001
2004-06-23,75.001
2004-06-24,74.999
2004-06-25,74.987
2004-06-26,75
2004-06-27,75.01
2004-06-28,74.983
2004-06-29,74.994
2004-06-30,74.977
2004-07-01,74.976
2004-07-02,74.97
2004-07-03,74.951
2004-07-04,74.93
2004-07-05,74.996
2004-07-06,74.96
2004-07-07,74.942
2004-07-08,74.982
2004-07-09,74.983
2004-07-10,74.971
2004-07-11,74.949
2004-07-12,74.929
2004-07-13,74.934
2004-07-14,74.939
2004-07-15,74.975
2004-07-16,74.978
2004-07-17,74.961
2004-07-18,74.943
2004-07-19,74.957
2004-07-20,74.959
2004-07-21,74.951
2004-07-22,74.953
2004-07-23,74.945
2004-07-24,74.901
2004-07-25,74.891
2004-07-26,74.884
2004-07-27,74.875
2004-07-28,74.906
2004-07-29,74.911
2004-07-30,74.907
2004-07-31,74.96
2004-08-01,74.968
2004-08-02,74.955
2004-08-03,74.961
2004-08-04,74.95
2004-08-05,74.922
2004-08-06,74.912
2004-08-07,74.913
2004-08-08,74.901
2004-08-09,74.907
2004-08-10,74.908
2004-08-11,74.914
2004-08-12,74.9
2004-08-13,74.885
2004-08-14,74.88
2004-08-15,74.869
2004-08-16,74.864
2004-08-17,74.856
2004-08-18,74.857
2004-08-19,74.886
2004-08-20,74.85
2004-08-21,74.837
2004-08-22,74.822
2004-08-23,74.824
2004-08-24,74.751
2004-08-25,74.757
2004-08-26,74.778
2004-08-27,74.774
2004-08-28,74.767
2004-08-29,74.765
2004-08-30,74.756
2004-08-31,74.784
2004-09-01,74.771
2004-09-02,74.738
2004-09-03,74.771
2004-09-04,74.746
2004-09-05,74.718
2004-09-06,74.748
2004-09-07,74.761
2004-09-08,74.666
2004-09-09,74.733
2004-09-10,74.833
2004-09-11,74.833
2004-09-12,74.845
2004-09-13,74.805
2004-09-14,74.817
2004-09-15,74.845
2004-09-16,74.845
2004-09-17,74.825
2004-09-18,74.749
2004-09-19,74.75
2004-09-20,74.761
2004-09-21,74.767
2004-09-22,74.768
2004-09-23,74.746
2004-09-24,74.738
2004-09-25,74.765
2004-09-26,74.743
2004-09-27,74.73
2004-09-28,74.688
2004-09-29,74.647
2004-09-30,74.66
2004-10-01,74.656
2004-10-02,74.688
2004-10-03,74.651
2004-10-04,74.661
2004-10-05,74.622
2004-10-06,74.662
2004-10-07,74.627
2004-10-08,74.605
2004-10-09,74.653
2004-10-10,74.579
2004-10-11,74.543
2004-10-12,74.546
2004-10-13,74.523
2004-10-14,74.505
2004-10-15,74.5
2004-10-16,74.592
2004-10-17,74.655
2004-10-18,74.534
2004-10-19,74.422
2004-10-20,74.432
2004-10-21,74.442
2004-10-22,74.434
2004-10-23,74.422
2004-10-24,74.427
2004-10-25,74.426
2004-10-26,74.428
2004-10-27,74.395
2004-10-28,74.38
2004-10-29,74.365
2004-10-30,74.408
2004-10-31,74.482
2004-11-01,74.406
2004-11-02,74.385
2004-11-03,74.389
2004-11-04,74.405
2004-11-05,74.487
2004-11-06,74.495
2004-11-07,74.432
2004-11-08,74.389
2004-11-09,74.363
2004-11-10,74.407
2004-11-11,74.383
2004-11-12,74.312
