"Date","IGLD.m"
2001-01-01,74.401
2001-01-02,74.413
2001-01-03,74.449
2001-01-04,74.421
2001-01-05,74.433
2001-01-06,74.428
2001-01-07,74.38
2001-01-08,74.394
2001-01-09,74.421
2001-01-10,74.388
2001-01-11,74.44
2001-01-12,74.379
2001-01-13,74.391
2001-01-14,74.369
2001-01-15,74.347
2001-01-16,74.422
2001-01-17,74.384
2001-01-18,74.397
2001-01-19,74.391
2001-01-20,74.354
2001-01-21,74.398
2001-01-22,74.385
2001-01-23,74.405
2001-01-24,74.388
2001-01-25,74.38
2001-01-26,74.382
2001-01-27,74.389
2001-01-28,74.38
2001-01-29,74.378
2001-01-30,74.352
2001-01-31,74.375
2001-02-01,74.389
2001-02-02,74.419
2001-02-03,74.405
2001-02-04,74.392
2001-02-05,74.385
2001-02-06,74.401
2001-02-07,74.401
2001-02-08,74.362
2001-02-09,74.409
2001-02-10,74.51
2001-02-11,74.442
2001-02-12,74.423
2001-02-13,74.431
2001-02-14,74.443
2001-02-15,74.453
2001-02-16,74.455
2001-02-17,74.505
2001-02-18,74.504
2001-02-19,74.499
2001-02-20,74.475
2001-02-21,74.477
2001-02-22,74.433
2001-02-23,74.495
2001-02-24,74.424
2001-02-25,74.496
2001-02-26,74.538
2001-02-27,74.494
2001-02-28,74.487
2001-03-01,74.477
2001-03-02,74.47
2001-03-03,74.467
2001-03-04,74.437
2001-03-05,74.461
2001-03-06,74.487
2001-03-07,74.485
2001-03-08,74.486
2001-03-09,74.498
2001-03-10,74.514
2001-03-11,74.534
2001-03-12,74.454
2001-03-13,74.505
2001-03-14,74.572
2001-03-15,74.534
2001-03-16,74.489
2001-03-17,74.478
2001-03-18,74.528
2001-03-19,74.523
2001-03-20,74.508
2001-03-21,74.511
2001-03-22,74.516
2001-03-23,74.56
2001-03-24,74.609
2001-03-25,74.602
2001-03-26,74.59
2001-03-27,74.614
2001-03-28,74.591
2001-03-29,74.561
2001-03-30,74.532
2001-03-31,74.571
2001-04-01,74.572
2001-04-02,74.603
2001-04-03,74.612
2001-04-04,74.62
2001-04-05,74.619
2001-04-06,74.61
2001-04-07,74.596
2001-04-08,74.697
2001-04-09,74.682
2001-04-10,74.673
2001-04-11,74.663
2001-04-12,74.704
2001-04-13,74.784
2001-04-14,74.75
2001-04-15,74.736
2001-04-16,74.739
2001-04-17,74.736
2001-04-18,74.754
2001-04-19,74.778
2001-04-20,74.766
2001-04-21,74.762
2001-04-22,74.811
2001-04-23,74.774
2001-04-24,74.858
2001-04-25,74.814
2001-04-26,74.803
2001-04-27,74.81
2001-04-28,74.8
2001-04-29,74.806
2001-04-30,74.806
2001-05-01,74.8
2001-05-02,74.803
2001-05-03,74.81
2001-05-04,74.791
2001-05-05,74.787
2001-05-06,74.765
2001-05-07,74.77
2001-05-08,74.787
2001-05-09,74.79
2001-05-10,74.794
2001-05-11,74.787
2001-05-12,74.796
2001-05-13,74.801
2001-05-14,74.805
2001-05-15,74.783
2001-05-16,74.759
2001-05-17,74.774
2001-05-18,74.792
2001-05-19,74.792
2001-05-20,74.772
2001-05-21,74.759
2001-05-22,74.767
2001-05-23,74.813
2001-05-24,74.798
2001-05-25,74.793
2001-05-26,74.811
2001-05-27,74.826
2001-05-28,74.852
2001-05-29,74.877
2001-05-30,74.873
2001-05-31,74.873
2001-06-01,74.84
2001-06-02,74.87
2001-06-03,74.89
2001-06-04,74.922
2001-06-05,74.903
2001-06-06,74.891
2001-06-07,74.892
2001-06-08,74.891
2001-06-09,74.894
2001-06-10,74.889
2001-06-11,74.885
2001-06-12,74.89
2001-06-13,74.893
2001-06-14,74.883
2001-06-15,74.882
2001-06-16,74.905
2001-06-17,74.909
2001-06-18,74.902
2001-06-19,74.924
2001-06-20,74.903
2001-06-21,74.875
2001-06-22,74.929
2001-06-23,74.905
2001-06-24,74.904
2001-06-25,74.901
2001-06-26,74.9
2001-06-27,74.912
2001-06-28,74.889
2001-06-29,74.89
2001-06-30,74.921
2001-07-01,74.956
