"Date","IGLD.m"
2007-01-01,74.774
2007-01-02,74.775
2007-01-03,74.796
2007-01-04,74.775
2007-01-05,74.765
2007-01-06,74.816
2007-01-07,74.792
2007-01-08,74.886
2007-01-09,74.884
2007-01-10,74.853
2007-01-11,74.859
2007-01-12,74.875
2007-01-13,74.813
2007-01-14,74.82
2007-01-15,74.774
2007-01-16,74.86
2007-01-17,74.869
2007-01-18,74.939
2007-01-19,74.956
2007-01-20,74.903
2007-01-21,74.857
2007-01-22,74.844
2007-01-23,74.91
2007-01-24,74.875
2007-01-25,74.866
2007-01-26,74.807
2007-01-27,74.764
2007-01-28,74.78
2007-01-29,74.795
2007-01-30,74.762
2007-01-31,74.817
2007-02-01,74.879
2007-02-02,74.877
2007-02-03,74.928
2007-02-04,74.915
2007-02-05,74.874
2007-02-06,74.846
2007-02-07,74.845
2007-02-08,74.844
2007-02-09,74.887
2007-02-10,74.888
2007-02-11,74.916
2007-02-12,74.891
2007-02-13,74.85
2007-02-14,74.839
2007-02-15,74.888
2007-02-16,74.892
2007-02-17,74.882
2007-02-18,74.872
2007-02-19,74.839
2007-02-20,74.85
2007-02-21,74.84
2007-02-22,74.835
2007-02-23,74.836
2007-02-24,74.827
2007-02-25,74.797
2007-02-26,74.763
2007-02-27,74.727
2007-02-28,74.737
2007-03-01,74.74
2007-03-02,74.728
2007-03-03,74.68
2007-03-04,74.685
2007-03-05,74.683
2007-03-06,74.656
2007-03-07,74.657
2007-03-08,74.646
2007-03-09,74.638
2007-03-10,74.655
2007-03-11,74.659
2007-03-12,74.649
2007-03-13,74.637
2007-03-14,74.644
2007-03-15,74.646
2007-03-16,74.619
2007-03-17,74.653
2007-03-18,74.693
2007-03-19,74.687
2007-03-20,74.706
2007-03-21,74.674
2007-03-22,74.724
2007-03-23,74.708
2007-03-24,74.682
2007-03-25,74.689
2007-03-26,74.723
2007-03-27,74.746
2007-03-28,74.731
2007-03-29,74.74
2007-03-30,74.755
2007-03-31,74.736
2007-04-01,74.73
2007-04-02,74.785
2007-04-03,74.762
2007-04-04,74.72
2007-04-05,74.75
2007-04-06,74.801
2007-04-07,74.802
2007-04-08,74.837
2007-04-09,74.813
2007-04-10,74.8
2007-04-11,74.738
2007-04-12,74.757
2007-04-13,74.84
2007-04-14,74.853
2007-04-15,74.8
2007-04-16,74.783
2007-04-17,74.822
2007-04-18,74.83
2007-04-19,74.86
2007-04-20,74.89
2007-04-21,74.9
2007-04-22,74.899
2007-04-23,74.913
2007-04-24,74.919
2007-04-25,74.908
2007-04-26,74.882
2007-04-27,74.908
2007-04-28,74.94
2007-04-29,74.936
2007-04-30,74.954
2007-05-01,74.917
2007-05-02,74.922
2007-05-03,74.919
2007-05-04,74.919
2007-05-05,74.897
2007-05-06,74.893
2007-05-07,74.891
2007-05-08,74.903
2007-05-09,74.893
