"Date","IGLD.m"
1992-01-01,74.28
1992-01-02,74.296
1992-01-03,74.28
1992-01-04,74.271
1992-01-05,74.308
1992-01-06,74.328
1992-01-07,74.319
1992-01-08,74.272
1992-01-09,74.309
1992-01-10,74.309
1992-01-11,74.28
1992-01-12,74.299
1992-01-13,74.328
1992-01-14,74.324
1992-01-15,74.352
1992-01-16,74.335
1992-01-17,74.41
1992-01-18,74.383
1992-01-19,74.38
1992-01-20,74.353
1992-01-21,74.346
1992-01-22,74.287
1992-01-23,74.357
1992-01-24,74.467
1992-01-25,74.358
1992-01-26,74.37
1992-01-27,74.337
1992-01-28,74.33
1992-01-29,74.353
1992-01-30,74.357
1992-01-31,74.349
1992-02-01,74.318
1992-02-02,74.324
1992-02-03,74.31
1992-02-04,74.318
1992-02-05,74.315
1992-02-06,74.27
1992-02-07,74.311
1992-02-08,74.319
1992-02-09,74.32
1992-02-10,74.302
1992-02-11,74.328
1992-02-12,74.284
1992-02-13,74.287
1992-02-14,74.285
1992-02-15,74.261
1992-02-16,74.332
1992-02-17,74.326
1992-02-18,74.291
1992-02-19,74.325
1992-02-20,74.332
1992-02-21,74.362
1992-02-22,74.352
1992-02-23,74.346
1992-02-24,74.304
1992-02-25,74.336
1992-02-26,74.367
1992-02-27,74.401
1992-02-28,74.355
1992-02-29,74.356
1992-03-01,74.369
1992-03-02,74.308
1992-03-03,74.349
1992-03-04,74.337
1992-03-05,74.34
1992-03-06,74.296
1992-03-07,74.364
1992-03-08,74.372
1992-03-09,74.374
1992-03-10,74.416
1992-03-11,74.457
1992-03-12,74.504
1992-03-13,74.484
1992-03-14,74.465
1992-03-15,74.452
1992-03-16,74.45
1992-03-17,74.475
1992-03-18,74.437
1992-03-19,74.423
1992-03-20,74.459
1992-03-21,74.44
1992-03-22,74.42
1992-03-23,74.455
1992-03-24,74.455
1992-03-25,74.448
1992-03-26,74.454
1992-03-27,74.516
1992-03-28,74.552
1992-03-29,74.559
1992-03-30,74.557
1992-03-31,74.573
1992-04-01,74.588
1992-04-02,74.607
1992-04-03,74.632
1992-04-04,74.611
1992-04-05,74.617
1992-04-06,74.607
1992-04-07,74.618
1992-04-08,74.622
1992-04-09,74.62
1992-04-10,74.599
1992-04-11,74.559
1992-04-12,74.733
1992-04-13,74.675
1992-04-14,74.701
1992-04-15,74.681
1992-04-16,74.652
1992-04-17,74.732
1992-04-18,74.744
1992-04-19,74.75
1992-04-20,74.775
1992-04-21,74.779
1992-04-22,74.818
1992-04-23,74.834
1992-04-24,74.822
1992-04-25,74.841
1992-04-26,74.864
1992-04-27,74.885
1992-04-28,74.898
1992-04-29,74.904
1992-04-30,74.903
1992-05-01,74.888
1992-05-02,74.921
1992-05-03,75.006
1992-05-04,74.97
1992-05-05,74.96
1992-05-06,74.974
1992-05-07,74.978
1992-05-08,74.974
1992-05-09,74.972
1992-05-10,74.982
1992-05-11,74.98
1992-05-12,74.98
1992-05-13,74.992
1992-05-14,74.979
1992-05-15,74.974
1992-05-16,74.966
1992-05-17,74.99
1992-05-18,74.965
1992-05-19,74.97
1992-05-20,74.977
